epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.053,1.38982,1.24955,1.58683,0.62997,0.4401,0.4793,0.21457,1.78913,2.31412,1.94439,0.000329787,0.000329787,0.0673511
2,29.6625,1.24984,1.16346,1.47438,0.56613,0.53938,0.53501,0.24479,1.78621,2.02,2.01894,0.000656556,0.000656556,0.0343445
3,44.3065,1.21927,1.16096,1.45454,0.54127,0.56325,0.53843,0.30448,1.5875,1.99521,1.83064,0.000976724,0.000976724,0.00133133
4,58.5393,1.2045,1.14681,1.45328,0.58485,0.58402,0.56284,0.34283,1.44066,2.22149,1.74249,0.0009703,0.0009703,0.0009703
5,72.8064,1.17744,1.12679,1.42662,0.55161,0.57058,0.54585,0.29896,1.52278,2.01638,1.81819,0.0009604,0.0009604,0.0009604
6,87.0667,1.17905,1.12541,1.42953,0.60146,0.57562,0.59575,0.36408,1.37879,2.14679,1.6713,0.0009505,0.0009505,0.0009505
7,101.333,1.15552,1.09324,1.41317,0.56872,0.61813,0.59773,0.37541,1.49218,2.05586,1.78819,0.0009406,0.0009406,0.0009406
8,115.191,1.16236,1.11219,1.42768,0.6315,0.54903,0.57931,0.34233,1.44105,2.06855,1.72282,0.0009307,0.0009307,0.0009307
9,129.604,1.14599,1.09814,1.4284,0.57935,0.60472,0.61231,0.36685,1.44568,1.69364,1.74714,0.0009208,0.0009208,0.0009208
10,144.041,1.16522,1.08255,1.42829,0.5727,0.58732,0.611,0.38606,1.33661,1.78294,1.68945,0.0009109,0.0009109,0.0009109
11,158.436,1.13676,1.04585,1.40639,0.57692,0.62284,0.59963,0.37592,1.43236,2.2546,1.72229,0.000901,0.000901,0.000901
12,172.041,1.10373,1.0141,1.38574,0.54612,0.64223,0.561,0.35664,1.46321,2.17922,1.75867,0.0008911,0.0008911,0.0008911
13,186.267,1.09839,1.01361,1.38119,0.57104,0.6077,0.62242,0.37857,1.39602,1.83068,1.64215,0.0008812,0.0008812,0.0008812
14,200.947,1.08299,1.00417,1.37158,0.59299,0.57379,0.57502,0.34734,1.41425,2.20261,1.65699,0.0008713,0.0008713,0.0008713
15,214.754,1.10292,1.02335,1.37881,0.61579,0.6142,0.60912,0.38911,1.31053,1.85836,1.62339,0.0008614,0.0008614,0.0008614
16,228.757,1.09724,0.99827,1.37366,0.58531,0.60842,0.63478,0.37987,1.36822,1.76081,1.60144,0.0008515,0.0008515,0.0008515
17,242.619,1.09898,0.99683,1.38047,0.55454,0.59479,0.5881,0.35965,1.34532,2.09497,1.62372,0.0008416,0.0008416,0.0008416
18,256.347,1.0675,0.95662,1.35604,0.57294,0.61132,0.60511,0.36693,1.36872,1.98498,1.68147,0.0008317,0.0008317,0.0008317
19,270.104,1.09353,0.99266,1.38052,0.63061,0.56385,0.58671,0.37698,1.32194,2.22747,1.65261,0.0008218,0.0008218,0.0008218
20,284.099,1.08002,0.96449,1.37226,0.61413,0.63188,0.62403,0.38782,1.37323,1.92294,1.66392,0.0008119,0.0008119,0.0008119
21,298.383,1.07514,0.96333,1.36951,0.6298,0.63087,0.65122,0.41082,1.38932,1.83837,1.67199,0.000802,0.000802,0.000802
22,311.763,1.0596,0.93934,1.35584,0.61002,0.62454,0.61705,0.39546,1.268,1.99987,1.56572,0.0007921,0.0007921,0.0007921
23,325.763,1.06242,0.96021,1.37068,0.68768,0.60199,0.63318,0.40484,1.32258,1.74806,1.58882,0.0007822,0.0007822,0.0007822
24,339.571,1.05056,0.93395,1.34133,0.68148,0.56635,0.60105,0.37958,1.34805,2.30131,1.65086,0.0007723,0.0007723,0.0007723
25,353.038,1.03719,0.9301,1.35818,0.66563,0.60287,0.62481,0.39898,1.40072,2.03159,1.73315,0.0007624,0.0007624,0.0007624
26,367.024,1.05352,0.9399,1.35354,0.61809,0.63655,0.61531,0.40018,1.32774,2.01597,1.62942,0.0007525,0.0007525,0.0007525
27,381.025,1.03312,0.91175,1.33077,0.70461,0.54418,0.61008,0.39506,1.36533,2.2789,1.64378,0.0007426,0.0007426,0.0007426
28,395.335,1.05724,0.93191,1.35592,0.63965,0.66271,0.67802,0.44012,1.31101,1.90429,1.6008,0.0007327,0.0007327,0.0007327
29,409.135,1.03348,0.91112,1.33892,0.67593,0.58212,0.63226,0.41021,1.26954,1.87508,1.60873,0.0007228,0.0007228,0.0007228
30,422.944,1.04466,0.9165,1.34801,0.57095,0.65263,0.63011,0.40327,1.24602,1.7616,1.57757,0.0007129,0.0007129,0.0007129
31,437.064,1.02054,0.90515,1.32859,0.64275,0.64248,0.65065,0.41254,1.33465,2.03373,1.61937,0.000703,0.000703,0.000703
